run_id,session_id,run_index_in_day,run_outcome,run_outcome_ordinal,victory_binary,character,difficulty,difficulty_ordinal,nightlord,enhanced,map,team_type,evergaol_cleared,middle_castle_visited,great_enemies_cleared,enemies_cleared,allies_rescued,runes_obtained,level,total_optional_content,loot_priority_score,buff_to_loot_ratio,risk_taking_score,combat_efficiency,runes_per_level,strategy_type,after_victory
33,10,1,second_day,1,0,revenant,depth1,1,Gnoster,False,crater,duo,3,False,8,76,14,409179,13,11,8,0.3333333333333333,3,0.1038961038961039,29227.071428571428,speedrun,0.0
34,10,2,final_day,2,0,wylder,depth1,1,Fulghor,False,base,duo,3,True,12,76,9,755445,12,15,15,0.23076923076923078,4,0.15584415584415584,58111.153846153844,loot_focused,0.0
35,10,3,victory,3,1,wylder,depth1,1,Adel,False,noklateo,duo,4,False,13,83,20,522416,13,17,13,0.2857142857142857,4,0.15476190476190477,37315.42857142857,loot_focused,0.0
36,10,4,final_day,2,0,wylder,depth1,1,Gnoster,False,base,duo,5,False,11,83,14,488926,14,16,11,0.4166666666666667,5,0.13095238095238096,32595.066666666666,buff_focused,1.0
37,10,5,first_day,0,0,recluse,depth1,1,Caligo,False,base,duo,3,False,4,34,3,103642,5,7,4,0.6,3,0.11428571428571428,17273.666666666668,speedrun,0.0
38,11,1,final_day,2,0,recluse,depth1,1,Fulghor,False,base,trio,3,True,9,89,32,322064,9,12,12,0.3,4,0.1,32206.4,high_risk_castle,0.0
39,11,2,final_day,2,0,wylder,depth1,1,Gnoster,False,base,trio,2,True,12,107,22,654282,15,14,15,0.15384615384615385,3,0.1111111111111111,40892.625,loot_focused,0.0
40,11,3,final_day,2,0,revenant,depth1,1,Fulghor,False,base,duo,6,True,10,77,13,703551,15,16,13,0.5454545454545454,7,0.1282051282051282,43971.9375,buff_focused,0.0
41,11,4,second_day,1,0,revenant,depth1,1,Gnoster,False,base,trio,2,True,8,80,19,399524,11,10,11,0.2222222222222222,3,0.09876543209876543,33293.666666666664,high_risk_castle,0.0
42,11,5,victory,3,1,recluse,depth1,1,Gladius,False,base,duo,5,False,15,73,7,466353,14,20,15,0.3125,5,0.20270270270270271,31090.2,buff_focused,0.0
43,11,6,final_day,2,0,recluse,depth1,1,Gnoster,False,base,duo,3,True,10,89,15,529452,15,13,13,0.2727272727272727,4,0.1111111111111111,33090.75,high_risk_castle,1.0
44,11,7,victory,3,1,wylder,depth1,1,Libra,False,base,duo,7,True,16,56,6,521847,14,23,19,0.4117647058823529,8,0.2807017543859649,34789.8,buff_focused,0.0
45,12,1,second_day,1,0,wylder,depth2,2,Gnoster,False,base,duo,4,False,11,55,6,489623,13,15,11,0.3333333333333333,4,0.19642857142857142,34973.07142857143,speedrun,0.0
46,12,2,final_day,2,0,recluse,depth2,2,Caligo,False,base,duo,4,True,13,80,9,688082,12,17,16,0.2857142857142857,5,0.16049382716049382,52929.38461538462,loot_focused,0.0
47,12,3,second_day,1,0,revenant,depth2,2,Fulghor,True,base,duo,3,True,8,65,13,537663,12,11,11,0.3333333333333333,4,0.12121212121212122,41358.692307692305,high_risk_castle,0.0
48,13,1,victory,3,1,wylder,depth2,2,Adel,False,base,duo,2,True,11,129,12,573430,15,13,14,0.16666666666666666,3,0.08461538461538462,35839.375,high_risk_castle,0.0
49,14,1,final_day,2,0,wylder,depth2,2,Gnoster,False,base,duo,5,False,11,88,8,561467,15,16,11,0.4166666666666667,5,0.12359550561797752,35091.6875,buff_focused,0.0
50,14,2,victory,3,1,recluse,depth2,2,Libra,False,rotted_woods,duo,6,False,16,78,15,683928,15,22,16,0.35294117647058826,6,0.20253164556962025,42745.5,buff_focused,0.0
51,15,1,second_day,1,0,wylder,depth2,2,Fulghor,False,base,trio,4,True,10,83,24,354016,12,14,13,0.36363636363636365,5,0.11904761904761904,27232.0,high_risk_castle,0.0
52,15,2,final_day,2,0,revenant,depth2,2,Heolstor,False,noklateo,trio,3,True,14,96,29,432376,12,17,17,0.2,4,0.14432989690721648,33259.692307692305,loot_focused,0.0
53,15,3,final_day,2,0,revenant,depth2,2,Heolstor,False,base,trio,3,True,8,139,18,446664,14,11,11,0.3333333333333333,4,0.05714285714285714,29777.6,high_risk_castle,0.0
54,15,4,victory,3,1,revenant,depth2,2,Adel,False,mountaintop,trio,4,False,15,113,24,545960,15,19,15,0.25,4,0.13157894736842105,34122.5,loot_focused,0.0
