run_id,run_index_in_day,character,difficulty,nightlord,enhanced,map,run_outcome,evergaol_cleared,middle_castle_visited,great_enemies_cleared,enemies_cleared,team_type,allies_rescued,runes_obtained,level,notes,run_outcome_ordinal,difficulty_ordinal,victory_binary,total_optional_content,loot_priority_score,buff_to_loot_ratio,risk_taking_score,combat_efficiency,runes_per_level,enemies_per_level,session_id,cumulative_wins_in_session,win_rate_so_far_in_session,prev_run_outcome_ordinal,after_victory,strategy_type
28,2,revenant,depth2,Gladius,True,noklateo,final_day,5,False,14,109,duo,5,545957,14,,2,2,0,19,14,0.3333333333333333,5,0.12727272727272726,36397.13333333333,7.266666666666667,7,0,0.0,1.0,0.0,buff_focused
29,3,recluse,depth2,Gnoster,True,noklateo,final_day,3,True,16,67,duo,8,549967,15,,2,2,0,19,19,0.17647058823529413,4,0.23529411764705882,34372.9375,4.1875,7,0,0.0,2.0,0.0,loot_focused
30,1,revenant,depth2,Adel,True,base,victory,7,True,17,77,duo,4,581326,15,,3,2,1,24,20,0.3888888888888889,8,0.21794871794871795,36332.875,4.8125,8,1,1.0,,0.0,buff_focused
31,1,revenant,depth1,Gladius,False,rotted_woods,victory,5,False,17,71,duo,17,610622,15,,3,1,1,22,17,0.2777777777777778,5,0.2361111111111111,38163.875,4.4375,9,1,1.0,,0.0,buff_focused
32,2,recluse,depth1,Maris,False,base,victory,6,False,13,133,duo,16,505573,14,,3,1,1,19,13,0.42857142857142855,6,0.09701492537313433,33704.86666666667,8.866666666666667,9,2,1.0,3.0,1.0,buff_focused
33,1,revenant,depth1,Gnoster,False,crater,second_day,3,False,8,76,duo,14,409179,13,,1,1,0,11,8,0.3333333333333333,3,0.1038961038961039,29227.071428571428,5.428571428571429,10,0,0.0,,0.0,speedrun
34,2,wylder,depth1,Fulghor,False,base,final_day,3,True,12,76,duo,9,755445,12,,2,1,0,15,15,0.23076923076923078,4,0.15584415584415584,58111.153846153844,5.846153846153846,10,0,0.0,1.0,0.0,loot_focused
35,3,wylder,depth1,Adel,False,noklateo,victory,4,False,13,83,duo,20,522416,13,,3,1,1,17,13,0.2857142857142857,4,0.15476190476190477,37315.42857142857,5.928571428571429,10,1,0.3333333333333333,2.0,0.0,loot_focused
36,4,wylder,depth1,Gnoster,False,base,final_day,5,False,11,83,duo,14,488926,14,,2,1,0,16,11,0.4166666666666667,5,0.13095238095238096,32595.066666666666,5.533333333333333,10,1,0.25,3.0,1.0,buff_focused
37,5,recluse,depth1,Caligo,False,base,first_day,3,False,4,34,duo,3,103642,5,,0,1,0,7,4,0.6,3,0.11428571428571428,17273.666666666668,5.666666666666667,10,1,0.2,2.0,0.0,speedrun
38,1,recluse,depth1,Fulghor,False,base,final_day,3,True,9,89,trio,32,322064,9,,2,1,0,12,12,0.3,4,0.1,32206.4,8.9,11,0,0.0,,0.0,high_risk_castle
39,2,wylder,depth1,Gnoster,False,base,final_day,2,True,12,107,trio,22,654282,15,,2,1,0,14,15,0.15384615384615385,3,0.1111111111111111,40892.625,6.6875,11,0,0.0,2.0,0.0,loot_focused
40,3,revenant,depth1,Fulghor,False,base,final_day,6,True,10,77,duo,13,703551,15,,2,1,0,16,13,0.5454545454545454,7,0.1282051282051282,43971.9375,4.8125,11,0,0.0,2.0,0.0,buff_focused
41,4,revenant,depth1,Gnoster,False,base,second_day,2,True,8,80,trio,19,399524,11,,1,1,0,10,11,0.2222222222222222,3,0.09876543209876543,33293.666666666664,6.666666666666667,11,0,0.0,2.0,0.0,high_risk_castle
42,5,recluse,depth1,Gladius,False,base,victory,5,False,15,73,duo,7,466353,14,,3,1,1,20,15,0.3125,5,0.20270270270270271,31090.2,4.866666666666666,11,1,0.2,1.0,0.0,buff_focused
43,6,recluse,depth1,Gnoster,False,base,final_day,3,True,10,89,duo,15,529452,15,,2,1,0,13,13,0.2727272727272727,4,0.1111111111111111,33090.75,5.5625,11,1,0.16666666666666666,3.0,1.0,high_risk_castle
44,7,wylder,depth1,Libra,False,base,victory,7,True,16,56,duo,6,521847,14,,3,1,1,23,19,0.4117647058823529,8,0.2807017543859649,34789.8,3.7333333333333334,11,2,0.2857142857142857,2.0,0.0,buff_focused
45,1,wylder,depth2,Gnoster,False,base,second_day,4,False,11,55,duo,6,489623,13,,1,2,0,15,11,0.3333333333333333,4,0.19642857142857142,34973.07142857143,3.9285714285714284,12,0,0.0,,0.0,speedrun
46,2,recluse,depth2,Caligo,False,base,final_day,4,True,13,80,duo,9,688082,12,,2,2,0,17,16,0.2857142857142857,5,0.16049382716049382,52929.38461538462,6.153846153846154,12,0,0.0,1.0,0.0,loot_focused
47,3,revenant,depth2,Fulghor,True,base,second_day,3,True,8,65,duo,13,537663,12,,1,2,0,11,11,0.3333333333333333,4,0.12121212121212122,41358.692307692305,5.0,12,0,0.0,2.0,0.0,high_risk_castle
48,1,wylder,depth2,Adel,False,base,victory,2,True,11,129,duo,12,573430,15,,3,2,1,13,14,0.16666666666666666,3,0.08461538461538462,35839.375,8.0625,13,1,1.0,,0.0,high_risk_castle
49,1,wylder,depth2,Gnoster,False,base,final_day,5,False,11,88,duo,8,561467,15,,2,2,0,16,11,0.4166666666666667,5,0.12359550561797752,35091.6875,5.5,14,0,0.0,,0.0,buff_focused
50,2,recluse,depth2,Libra,False,rotted_woods,victory,6,False,16,78,duo,15,683928,15,,3,2,1,22,16,0.35294117647058826,6,0.20253164556962025,42745.5,4.875,14,1,0.5,2.0,0.0,buff_focused
51,1,wylder,depth2,Fulghor,False,base,second_day,4,True,10,83,trio,24,354016,12,,1,2,0,14,13,0.36363636363636365,5,0.11904761904761904,27232.0,6.384615384615385,15,0,0.0,,0.0,high_risk_castle
52,2,revenant,depth2,Heolstor,False,noklateo,final_day,3,True,14,96,trio,29,432376,12,,2,2,0,17,17,0.2,4,0.14432989690721648,33259.692307692305,7.384615384615385,15,0,0.0,1.0,0.0,loot_focused
53,3,revenant,depth2,Heolstor,False,base,final_day,3,True,8,139,trio,18,446664,14,,2,2,0,11,11,0.3333333333333333,4,0.05714285714285714,29777.6,9.266666666666667,15,0,0.0,2.0,0.0,high_risk_castle
54,4,revenant,depth2,Adel,False,mountaintop,victory,4,False,15,113,trio,24,545960,15,,3,2,1,19,15,0.25,4,0.13157894736842105,34122.5,7.0625,15,1,0.25,2.0,0.0,loot_focused
55,5,recluse,depth2,Adel,True,base,final_day,6,True,15,116,trio,22,539784,14,,2,2,0,21,18,0.375,7,0.1282051282051282,35985.6,7.733333333333333,15,1,0.2,3.0,1.0,buff_focused
56,1,recluse,depth2,Fulghor,False,base,first_day,0,False,2,36,trio,10,49920,4,,0,2,0,2,2,0.0,0,0.05405405405405406,9984.0,7.2,16,0,0.0,,0.0,speedrun
57,2,revenant,depth2,Caligo,False,base,first_day,2,True,4,47,trio,10,114744,7,,0,2,0,6,7,0.4,3,0.08333333333333333,14343.0,5.875,16,0,0.0,0.0,0.0,high_risk_castle
58,3,recluse,depth2,Gnoster,True,base,second_day,3,True,10,103,duo,11,522094,14,,1,2,0,13,13,0.2727272727272727,4,0.09615384615384616,34806.26666666667,6.866666666666666,16,0,0.0,0.0,0.0,high_risk_castle
